rank,content_hash_id,baseline_score,reason_code,march_impressions,staleness_days
65,content_cf6d3115bc6a50d3,90.9364092922604,STALE_HIGH_OPPORTUNITY,6743,36.0
66,content_b99a83288a0f3057,90.89550102150132,STALE_HIGH_OPPORTUNITY,4276,124.0
67,content_7a73191d52541596,90.8752664506344,STALE_HIGH_OPPORTUNITY,6565,36.0
68,content_331f5dde36cc40f9,90.86079914613912,STALE_HIGH_OPPORTUNITY,6524,36.0
69,content_ac9b8222855b6945,90.80145151747968,STALE_HIGH_OPPORTUNITY,6367,36.0
70,content_b9b97d667e7a1eae,90.776065909914,STALE_HIGH_OPPORTUNITY,4158,120.0
71,content_bf8aae4567fcb83d,90.73756305602244,STALE_HIGH_OPPORTUNITY,6194,36.0
72,content_83aede7d852fa309,90.69194352651913,STALE_HIGH_OPPORTUNITY,6082,36.0
73,content_6de8846c54f99099,90.62604865056984,STALE_HIGH_OPPORTUNITY,5921,36.0
74,content_1aeabc5d599dde95,90.5791619119136,STALE_HIGH_OPPORTUNITY,5812,36.0
75,content_5a8a45c79112787c,90.52794554198508,STALE_HIGH_OPPORTUNITY,5709,36.0
76,content_b133fe807200f7bf,90.491935681891,STALE_HIGH_OPPORTUNITY,5629,36.0
77,content_f8e84719d52ab1fe,90.38967336798046,STALE_HIGH_OPPORTUNITY,3676,124.0
78,content_0b225d4ed6470938,90.278938943446,STALE_HIGH_OPPORTUNITY,5229,36.0
79,content_c9b1fcaa96c76fa6,90.27239169615616,STALE_HIGH_OPPORTUNITY,5214,36.0
80,content_289a5bf462a47f29,90.26247589613652,STALE_HIGH_OPPORTUNITY,3568,123.0
81,content_2c6ec61fc390089f,90.20909606369638,STALE_HIGH_OPPORTUNITY,3490,124.0
82,content_05bc14ba1d1eac90,90.18252544706507,STALE_HIGH_OPPORTUNITY,5048,36.0
83,content_cd510f4f32fddb54,90.168797347909,STALE_HIGH_OPPORTUNITY,5024,36.0
84,content_f602ab5cb5763f87,90.16837494485804,STALE_HIGH_OPPORTUNITY,5023,36.0
85,content_8ea16f0ba99969aa,89.92105795852278,STALE_HIGH_OPPORTUNITY,4905,36.0
86,content_50f20b2fa9607f2f,89.91049788224885,STALE_HIGH_OPPORTUNITY,4887,36.0
87,content_28a34283abddc58e,89.7493511183088,STALE_HIGH_OPPORTUNITY,4627,36.0
88,content_7a1082fe84947154,89.70732201473858,STALE_HIGH_OPPORTUNITY,4564,36.0
89,content_771d3b28976acd23,89.67627539049325,STALE_HIGH_OPPORTUNITY,4519,36.0
90,content_66097d8adf63762f,89.66613771727029,STALE_HIGH_OPPORTUNITY,4504,36.0
91,content_c44d92d3f0c6d3d2,89.59411799708214,STALE_HIGH_OPPORTUNITY,4395,36.0
92,content_d5837578dace8504,89.53012393486216,STALE_HIGH_OPPORTUNITY,4310,36.0
93,content_b0cd7add0c40475c,89.52737831503094,STALE_HIGH_OPPORTUNITY,4306,36.0
94,content_ad922fd9c431242c,89.43962408119465,STALE_HIGH_OPPORTUNITY,4193,36.0
95,content_df6b778e8979533a,89.34965223134083,STALE_HIGH_OPPORTUNITY,4073,36.0
96,content_56f507d7a6037534,89.32441364904615,STALE_HIGH_OPPORTUNITY,4040,36.0
97,content_4ae3607e3e51b9ba,89.21998647849568,STALE_HIGH_OPPORTUNITY,2930,81.0
98,content_9ae010bf5dbd2b99,89.21416645274641,STALE_HIGH_OPPORTUNITY,3910,36.0
99,content_9a3102540e4871e5,89.15101719662836,STALE_HIGH_OPPORTUNITY,3838,36.0
100,content_69b9947a3f1ca2d7,89.09019115729055,STALE_HIGH_OPPORTUNITY,3773,36.0
101,content_f9ee3039bab15b46,89.05808852541784,STALE_HIGH_OPPORTUNITY,3738,36.0
102,content_281b86b674aa6cf2,89.04722231853356,STALE_HIGH_OPPORTUNITY,2560,123.0
103,content_61f8fec9c4ce645f,88.95839697341889,STALE_HIGH_OPPORTUNITY,3880,35.0
104,content_9c0c439d8607ad23,88.95058694894932,STALE_HIGH_OPPORTUNITY,3625,36.0
105,content_0ab6e27dbd53bbbb,88.93850768641805,STALE_HIGH_OPPORTUNITY,2478,124.0
106,content_f1b7cc79b4956032,88.92376435521355,STALE_HIGH_OPPORTUNITY,3599,36.0
107,content_8402fcfad0caf493,88.91404908504154,STALE_HIGH_OPPORTUNITY,3588,36.0
108,content_de9712b8013cfa92,88.90834664385362,STALE_HIGH_OPPORTUNITY,3583,36.0
109,content_552f9e22530ba803,88.84625339536295,STALE_HIGH_OPPORTUNITY,3518,36.0
110,content_ebb1755e18b020e0,88.82175401840746,STALE_HIGH_OPPORTUNITY,3493,36.0
111,content_94ac81f26006b137,88.80591390399657,STALE_HIGH_OPPORTUNITY,3475,36.0
112,content_e060e585c7492c76,88.78014731788821,STALE_HIGH_OPPORTUNITY,3452,36.0
113,content_a6a1d523bf0dddb7,88.74350385321769,STALE_HIGH_OPPORTUNITY,3413,36.0
114,content_f712a9db831acfd5,88.70981720990387,STALE_HIGH_OPPORTUNITY,3379,36.0
115,content_2c9e8c0e673994e8,88.70052434278283,STALE_HIGH_OPPORTUNITY,3369,36.0
116,content_82f1998152b53f18,88.66683769946901,STALE_HIGH_OPPORTUNITY,3338,36.0
117,content_4d91140d1970b9df,88.57116340842727,STALE_HIGH_OPPORTUNITY,3246,36.0
118,content_43d4a7f169a8443d,88.53156312240007,STALE_HIGH_OPPORTUNITY,3208,36.0
119,content_f9c3e200d2ceddaa,88.47147628840145,STALE_HIGH_OPPORTUNITY,3155,36.0
120,content_68a3ad8abfe22070,88.4543689648377,STALE_HIGH_OPPORTUNITY,3138,36.0
121,content_5e7e003f2714ccd8,88.42923598330576,STALE_HIGH_OPPORTUNITY,3119,36.0
122,content_31e750b96e6abc08,88.37337317981671,STALE_HIGH_OPPORTUNITY,3070,36.0
123,content_221a6fdcabc0928a,88.3671427348151,STALE_HIGH_OPPORTUNITY,3065,36.0
124,content_ee30421adb06a685,88.32849285565254,STALE_HIGH_OPPORTUNITY,3035,36.0
125,content_96eb80b1ad849418,88.31007754735694,STALE_HIGH_OPPORTUNITY,2134,124.0
126,content_cf24a135e924ef9c,88.27791009030047,STALE_HIGH_OPPORTUNITY,2994,36.0
127,content_8008fe964784161f,88.25150989961564,STALE_HIGH_OPPORTUNITY,2974,36.0
128,content_f743a854f86d1415,88.22743292571111,STALE_HIGH_OPPORTUNITY,2956,36.0
129,content_ee102331d02f9a35,88.21602804333527,STALE_HIGH_OPPORTUNITY,2948,36.0
130,content_9efb161830e29271,88.1994487235852,STALE_HIGH_OPPORTUNITY,2939,36.0
131,content_7c1c4c3acb31d961,88.16671248713605,STALE_HIGH_OPPORTUNITY,2914,36.0
132,content_daf1fa4c69738a93,88.09078553872656,STALE_HIGH_OPPORTUNITY,2855,36.0
133,content_f02314134d223286,88.08772311660711,STALE_HIGH_OPPORTUNITY,2853,36.0
134,content_95f116a73c6b056b,88.03587314210215,STALE_HIGH_OPPORTUNITY,2816,36.0
135,content_ba78938b2c1392d0,88.0286922902359,STALE_HIGH_OPPORTUNITY,2810,36.0
136,content_210111c33ffdf813,87.93924844419577,STALE_HIGH_OPPORTUNITY,2745,36.0
137,content_c54d9bc240e64c0d,87.92562594580241,STALE_HIGH_OPPORTUNITY,2736,36.0
138,content_697d60d8bbbef7d6,87.91179224588356,STALE_HIGH_OPPORTUNITY,2724,36.0
139,content_e493ac08c07a070c,87.88940488418285,STALE_HIGH_OPPORTUNITY,2707,36.0
140,content_8ee4f4fa9aafea10,87.865855914092,STALE_HIGH_OPPORTUNITY,2688,36.0
141,content_db830a5d13c90b20,87.84220134323843,STALE_HIGH_OPPORTUNITY,2671,36.0
142,content_dcf57eeacdf9bfab,87.8394557234072,STALE_HIGH_OPPORTUNITY,2669,36.0
143,content_16ef36a5d6a9cd36,87.83797731272885,STALE_HIGH_OPPORTUNITY,2668,36.0
144,content_3ff808ed58eb2c69,87.78422652449458,STALE_HIGH_OPPORTUNITY,2629,36.0
145,content_1a70eda508395690,87.77979129245954,STALE_HIGH_OPPORTUNITY,2626,36.0
146,content_4b06de5683d5bca4,87.75888234143719,STALE_HIGH_OPPORTUNITY,2611,36.0
147,content_25aac3e5439711c6,87.74272834848543,STALE_HIGH_OPPORTUNITY,1327,141.0
148,content_56fd3de2b51e7572,87.71220680430643,STALE_HIGH_OPPORTUNITY,2581,36.0
149,content_674a4c69ecff28fc,87.70481475091468,STALE_HIGH_OPPORTUNITY,2577,36.0
150,content_f5086cd82e84e011,87.68929143879201,STALE_HIGH_OPPORTUNITY,2567,36.0
151,content_05533ad8c94d4d2a,87.67894256404357,STALE_HIGH_OPPORTUNITY,2561,36.0
152,content_aae67f83ba3cd80c,87.63184462386188,STALE_HIGH_OPPORTUNITY,2530,36.0
153,content_79f12f30282afb2f,87.61543573005832,STALE_HIGH_OPPORTUNITY,1809,124.0
154,content_bb56fccbc0d97668,87.59562356224232,STALE_HIGH_OPPORTUNITY,2507,36.0
155,content_af2742e9d807962c,87.5777770333394,STALE_HIGH_OPPORTUNITY,2495,36.0
156,content_7f498af6991b10b9,87.57689145165851,STALE_HIGH_OPPORTUNITY,1794,124.0
157,content_832dcbc5a0f99241,87.5562344777406,STALE_HIGH_OPPORTUNITY,2481,36.0
158,content_df6a9b44e683db63,87.53272524565499,STALE_HIGH_OPPORTUNITY,2294,60.0
159,content_99dc51629bf4cf2a,87.46436181415748,STALE_HIGH_OPPORTUNITY,2428,36.0
160,content_2dd43976814af155,87.42729594643602,STALE_HIGH_OPPORTUNITY,2406,36.0
161,content_e5da37536b39473b,87.39624932219067,STALE_HIGH_OPPORTUNITY,2388,36.0
162,content_32b6ba100a47d112,87.33548810803664,STALE_HIGH_OPPORTUNITY,1700,124.0
163,content_eba53d72e18a9f93,87.31664899899621,STALE_HIGH_OPPORTUNITY,734,231.0
164,content_41c5384645784d5b,87.31652074632257,STALE_HIGH_OPPORTUNITY,2342,36.0
